pro_com_t,<5,>=5,totale
006151,128,3785,3913
006152,7,540,547
006153,31,1161,1192
006154,116,3939,4055
006155,12,521,533
006156,9,359,368
006157,7,377,384
006158,31,1103,1134
006159,15,498,513
006160,238,5634,5872
006161,44,1161,1205
006162,52,1822,1874
006163,42,1528,1570
006164,1,199,200
006165,15,941,956
006166,14,349,363
006167,80,2289,2369
006168,57,1849,1906
006169,39,1471,1510
006170,11,589,600
006171,28,878,906
006172,23,823,846
006173,30,1274,1304
006174,956,25757,26713
006175,6,262,268
006176,13,657,670
006177,537,17612,18149
006178,27,932,959
006179,24,921,945
006180,56,1967,2023
006181,116,2948,3064
006182,12,468,480
006183,26,858,884
006184,0,295,295
006185,62,1690,1752
006186,11,652,663
006187,32,1109,1141
006188,29,1141,1170
006189,2,132,134
006190,14,657,671
006191,67,1776,1843
006192,52,1583,1635
006193,32,1306,1338
007001,2,206,208
007002,16,530,546
007003,1106,32417,33523
007004,51,1176,1227
007005,34,818,852
007006,12,286,298
007007,63,1336,1399
007008,94,2004,2098
007009,4,108,112
007010,8,210,218
007011,36,906,942
007012,24,839,863
007013,39,697,736
007014,16,520,536
007015,34,838,872
007016,1,107,108
007017,22,678,700
007018,11,369,380
007019,81,2296,2377
007020,131,4319,4450
007021,36,1307,1343
007022,74,2660,2734
007023,73,2332,2405
007024,14,483,497
007025,9,211,220
007026,14,469,483
007027,80,1698,1778
007028,18,415,433
007029,17,420,437
007030,70,1669,1739
007031,141,3239,3380
007032,18,304,322
007033,26,778,804
007034,45,1109,1154
007035,23,623,646
007036,13,380,393
007037,45,1302,1347
007038,21,691,712
007039,3,105,108
007040,85,1922,2007
007041,36,783,819
007042,13,433,446
007043,54,1695,1749
007044,80,2017,2097
007045,113,2871,2984
007046,10,151,161
007047,9,200,209
007048,16,436,452
007049,56,1464,1520
007050,2,168,170
007051,31,767,798
007052,105,3466,3571
007053,37,959,996
007054,186,3915,4101
007055,1,82,83
007056,1,171,172
007057,45,970,1015
007058,128,3343,3471
007059,11,355,366
007060,41,1270,1311
007061,10,310,320
007062,8,186,194
007063,132,3088,3220
007064,4,329,333
007065,147,4318,4465
007066,165,4628,4793
007067,25,530,555
007068,5,187,192
007069,17,577,594
007070,2,166,168
007071,87,2186,2273
007072,36,1231,1267
007073,78,2512,2590
007074,43,1204,1247
008001,9,367,376
008002,20,623,643
008003,5,144,149
008004,2,114,116
008005,10,328,338
008006,30,1029,1059
008007,4,317,321
008008,308,9852,10160
008009,13,390,403
008010,29,793,822
008011,215,5259,5474
008012,7,247,254
008014,42,1180,1222
008015,3,260,263
008016,34,1049,1083
008017,37,1092,1129
008018,8,265,273
008019,16,569,585
008020,21,494,515
008021,37,1160,1197
008022,25,594,619
008023,3,176,179
008024,22,751,773
008025,25,664,689
008026,78,2188,2266
008027,146,5535,5681
008028,28,1038,1066
008029,85,2000,2085
008030,44,1239,1283
008031,1413,40528,41941
008032,29,656,685
008033,9,266,275
008034,2,169,171
008035,14,592,606
008037,1,121,122
008038,6,193,199
008039,86,3119,3205
008040,27,799,826
008041,16,430,446
008042,45,1270,1315
008043,18,748,766
008044,33,818,851
008045,85,2233,2318
008046,16,647,663
008047,9,469,478
008048,21,524,545
008049,9,302,311
008050,82,2718,2800
008051,14,290,304
008052,82,2901,2983
008053,44,1194,1238
008054,37,1198,1235
008055,1624,51827,53451
008056,54,2004,2058
008057,9,272,281
008058,35,970,1005
008059,512,13357,13869
008060,8,229,237
008061,8,352,360
008062,40,1219,1259
008063,219,6481,6700
008064,3,383,386
008065,803,22328,23131
008066,8,246,254
008067,21,426,447
008068,13,487,500
009001,259,10063,10322
009002,802,22947,23749
009003,125,5167,5292
009004,220,9319,9539
009005,57,1905,1962
009006,197,7100,7297
009007,16,569,585
009008,11,523,534
009009,20,738,758
009010,22,1055,1077
009011,70,2402,2472
009012,128,4424,4552
009013,50,2034,2084
009014,9,348,357
009015,411,12280,12691
009016,38,1644,1682
009017,40,1386,1426
009018,140,5155,5295
009019,20,685,705
009020,9,301,310
009021,3,129,132
009022,124,4858,4982
009023,93,3215,3308
009024,170,5205,5375
009025,74,2049,2123
009026,22,1040,1062
009027,55,1837,1892
009028,4,218,222
009029,293,11011,11304
009030,48,1254,1302
009031,20,966,986
009032,6,400,406
009033,47,1665,1712
009034,286,10580,10866
009035,26,914,940
009036,26,1032,1058
009037,1,103,104
009038,127,3120,3247
009039,12,489,501
009040,20,751,771
009041,4,169,173
009042,61,2409,2470
009043,3,208,211
009044,18,901,919
